id,program_code,name,faculty,level,university_name,city,budget_places,paid_places,tuition_cost_rub_year,budget_passing_score,paid_min_score,duration,study_format,language,accreditation,total_places,budget_ratio,tuition_log,paid_min_score_missing,budget_score_missing,cluster_raw,competitiveness_class
1019,38.03.02 | Менеджмент,Управление бизнесом,Факультет управления и бизнес-технологии Калужского филиала ФУ при Правительстве РФ,Бакалавриат,Калужский филиал Финансового университета при Правительстве Российской Федерации,Калуга,,10.0,173000.0,,85.0,0.0,Очная,Русский,государственный,,0.0,12.06105265381003,0,0,2,1
1020,38.03.02 | Менеджмент,Управление бизнесом,Факультет управления и бизнес-технологии Калужского филиала ФУ при Правительстве РФ,Бакалавриат,Калужский филиал Финансового университета при Правительстве Российской Федерации,Калуга,,2.0,173000.0,,85.0,0.0,Очная,Русский,государственный,,0.0,12.06105265381003,0,0,2,1
1021,38.03.02 | Менеджмент,Управление бизнесом,Факультет Краснодарского филиала ФУ при Правительстве РФ,Бакалавриат,Краснодарский филиал Финансового университета при Правительстве Российской Федерации,Краснодар,6.0,87.0,168500.0,238.0,,0.0,Очная,Русский,государственный,93.0,0.06451612903225806,12.034696963475044,0,0,2,1
1022,38.03.02 | Менеджмент,Управление бизнесом,Факультет Краснодарского филиала ФУ при Правительстве РФ,Бакалавриат,Краснодарский филиал Финансового университета при Правительстве Российской Федерации,Краснодар,,37.0,64550.0,,85.0,0.0,Очно-заочная,Русский,государственный,,0.0,11.07521088802156,0,0,2,1
1023,38.03.02 | Менеджмент,Управление бизнесом,Факультет Краснодарского филиала ФУ при Правительстве РФ,Бакалавриат,Краснодарский филиал Финансового университета при Правительстве Российской Федерации,Краснодар,,44.0,64550.0,,85.0,0.0,Очно-заочная,Русский,государственный,,0.0,11.07521088802156,0,0,2,1
1024,38.03.02 | Менеджмент,Управление бизнесом,Факультет Краснодарского филиала ФУ при Правительстве РФ,Бакалавриат,Краснодарский филиал Финансового университета при Правительстве Российской Федерации,Краснодар,,13.0,168500.0,,85.0,0.0,Очная,Русский,государственный,,0.0,12.034696963475044,0,0,2,1
1025,38.03.02 | Менеджмент,Управление бизнесом,Факультет Краснодарского филиала ФУ при Правительстве РФ,Бакалавриат,Краснодарский филиал Финансового университета при Правительстве Российской Федерации,Краснодар,,2.0,168500.0,,85.0,0.0,Очная,Русский,государственный,,0.0,12.034696963475044,0,0,2,1
1026,38.03.02 | Менеджмент,Управление бизнесом,Факультет Краснодарского филиала ФУ при Правительстве РФ,Бакалавриат,Краснодарский филиал Финансового университета при Правительстве Российской Федерации,Краснодар,,2.0,64550.0,,85.0,0.0,Очно-заочная,Русский,государственный,,0.0,11.07521088802156,0,0,2,1
1027,38.03.02 | Менеджмент,Управление бизнесом,Факультет Курского филиала Финуниверситета при Правительстве РФ,Бакалавриат,Курский филиал Финансового университета при Правительстве Российской Федерации,Курск,8.0,17.0,140100.0,206.0,,0.0,Очная,Русский,государственный,25.0,0.32,11.850118870058369,0,0,0,0
1028,38.03.02 | Менеджмент,Управление бизнесом,Факультет Курского филиала Финуниверситета при Правительстве РФ,Бакалавриат,Курский филиал Финансового университета при Правительстве Российской Федерации,Курск,,25.0,59400.0,,150.0,0.0,Дистанционная,Русский,государственный,,0.0,10.992066340225865,0,0,2,1
